2010 Presidential Elections|4|2010-10-14|2010-12-04
2011 Council Presidency Elections|4|2011-06-13|2011-07-16
2012 Management Elections|4|2012-06-22|2012-08-13
2013 Officer Appointments|4|2013-02-11|2013-03-24
2014 Board Chair Elections|4|2014-02-13|2014-03-20
2015 Governing Body Elections|4|2015-10-30|2015-12-01
2016 Officer Selection|4|2016-07-03|2016-08-14
2017 Presidential Elections|4|2017-10-11|2017-11-19
2018 Management Elections|4|2018-06-02|2018-07-29
2019 Director General Elections|4|2019-12-03|2020-01-24
2020 Board Elections|4|2020-05-28|2020-06-27
2021 Trustee Elections|4|2021-03-15|2021-05-08
2022 Council Presidency Elections|4|2022-07-26|2022-08-26
2023 Steering Committee Elections|4|2023-08-04|2023-09-04
2024 Executive Committee Elections|4|2024-08-10|2024-09-13
2000 Leadership Elections|5|2000-11-28|2001-01-14
2001 Executive Elections|5|2001-12-14|2002-01-25
2002 Committee Chair Elections|5|2002-12-21|2003-01-28
2003 Board Chair Elections|5|2003-05-27|2003-07-13
2004 Officer Selection|5|2004-05-24|2004-07-08
2005 Officer Appointments|5|2005-04-14|2005-05-22
2006 Officer Selection|5|2006-07-30|2006-09-19
2007 Trustee Elections|5|2007-01-31|2007-03-03
2008 Board Chair Elections|5|2008-11-22|2009-01-16
2009 Management Elections|5|2009-04-26|2009-06-19
2010 Executive Director Elections|5|2010-01-30|2010-03-04
2011 Director Elections|5|2011-08-14|2011-09-28
2012 Presidential Elections|5|2012-04-28|2012-05-28
2013 Management Elections|5|2013-12-17|2014-02-08
2014 Council Presidency Elections|5|2014-08-24|2014-09-29
2015 Presidential Elections|5|2015-03-12|2015-04-17
2016 Trustee Elections|5|2016-12-06|2017-01-08
2017 Committee Chairperson Elections|5|2017-10-20|2017-11-21
2018 Director Elections|5|2018-01-16|2018-03-14
2019 President Selection|5|2019-11-24|2020-01-18
2020 Executive Committee Elections|5|2020-09-04|2020-11-01
2021 Trustee Elections|5|2021-04-10|2021-05-19
2022 Officer Appointments|5|2022-04-15|2022-05-24
2023 Committee Chair Elections|5|2023-05-07|2023-07-02
2024 Committee Chairperson Elections|5|2024-06-25|2024-08-10
2000 Chairperson Elections|6|2000-04-10|2000-05-18
2001 Committee Chairperson Elections|6|2001-04-28|2001-06-01
2002 Committee Chairperson Selection|6|2002-03-15|2002-05-06
2003 Committee Chairperson Selection|6|2003-09-30|2003-11-20
2004 Steering Committee Elections|6|2004-02-26|2004-04-09
2005 Committee Chair Elections|6|2005-11-15|2006-01-04
2006 Councilor Elections|6|2006-08-26|2006-09-27
2007 Management Elections|6|2007-10-17|2007-12-14
2008 Council Elections|6|2008-02-06|2008-03-23
2009 Council Elections|6|2009-08-22|2009-10-08
2010 Board Chair Elections|6|2010-07-13|2010-08-22
2011 Executive Elections|6|2011-03-21|2011-04-27
2012 Steering Committee Elections|6|2012-04-02|2012-05-29
2013 Committee Chairperson Selection|6|2013-09-10|2013-10-10
2014 Leadership Elections|6|2014-07-17|2014-09-07
2015 Committee Elections|6|2015-05-30|2015-06-30
2016 Board Elections|6|2016-06-02|2016-07-06
2017 Executive Board Elections|6|2017-08-17|2017-10-09
2018 Governing Body Elections|6|2018-12-01|2019-01-05
2019 Secretary-General Elections|6|2019-11-28|2020-01-25
2020 Board Elections|6|2020-12-10|2021-01-28
2021 Board Member Elections|6|2021-09-29|2021-11-26
2022 Committee Chairperson Selection|6|2022-02-10|2022-03-24
2023 Leadership Elections|6|2023-11-28|2023-12-30
2024 Officer Selection|6|2024-08-04|2024-09-10
2000 Councilor Elections|7|2000-03-12|2000-05-07
2001 Executive Elections|7|2001-02-02|2001-03-04
2002 Committee Elections|7|2002-10-28|2002-12-19
2003 Management Elections|7|2003-12-12|2004-01-24
2004 Executive Elections|7|2004-04-06|2004-05-07
2005 Director General Elections|7|2005-11-05|2005-12-16
2006 Director Elections|7|2006-10-31|2006-12-25
2007 Executive Elections|7|2007-06-18|2007-07-20
2008 Board Elections|7|2008-01-19|2008-02-21
2009 Board Member Elections|7|2009-05-25|2009-07-03
2010 Officer Selection|7|2010-01-22|2010-03-22
2011 Executive Elections|7|2011-09-24|2011-11-22
2012 Council Elections|7|2012-12-16|2013-02-02
2013 Executive Elections|7|2013-03-22|2013-05-14
2014 Committee Chairperson Selection|7|2014-01-08|2014-02-20
2015 Executive Committee Elections|7|2015-06-28|2015-08-14
2016 Chairperson Selection|7|2016-08-22|2016-10-13
2017 Management Elections|7|2017-12-05|2018-01-19
2018 Director Elections|7|2018-10-28|2018-12-02
2019 Councilor Elections|7|2019-02-28|2019-04-13
2020 Committee Chairperson Selection|7|2020-05-29|2020-07-08
2021 Council Elections|7|2021-06-25|2021-08-02
2022 Council Presidency Elections|7|2022-04-14|2022-05-28
2023 Leadership Elections|7|2023-10-18|2023-12-09
2024 Executive Elections|7|2024-04-18|2024-05-20
2000 Executive Board Elections|8|2000-01-28|2000-03-02
2001 Executive Committee Elections|8|2001-04-14|2001-05-15
2002 President Selection|8|2002-10-10|2002-11-15
2003 Director General Elections|8|2003-06-27|2003-08-12
2004 Executive Board Elections|8|2004-04-21|2004-06-16
2005 Officer Appointments|8|2005-04-21|2005-05-26
2006 Committee Chair Elections|8|2006-10-01|2006-11-19
2007 Committee Chairperson Elections|8|2007-07-15|2007-09-11
2008 Governing Body Elections|8|2008-05-11|2008-06-22
2009 Chairperson Elections|8|2009-02-09|2009-04-07
2010 Committee Chair Elections|8|2010-05-10|2010-06-24
2011 Board Member Elections|8|2011-02-11|2011-04-03
2012 Officer Appointments|8|2012-10-04|2012-11-11
2013 Council Elections|8|2013-08-16|2013-10-11
2014 Executive Elections|8|2014-04-22|2014-06-21
2015 Council Elections|8|2015-04-07|2015-05-17
2016 Secretary-General Elections|8|2016-11-23|2017-01-02
2017 Council Member Elections|8|2017-07-04|2017-09-02
2018 Chairperson Elections|8|2018-11-02|2018-12-31
2019 Officer Appointments|8|2019-02-06|2019-03-17
2020 Committee Chairperson Selection|8|2020-02-25|2020-04-02
2021 Executive Board Elections|8|2021-11-29|2022-01-20
2022 Board Chair Elections|8|2022-09-22|2022-10-28
2023 Executive Elections|8|2023-12-01|2024-01-04
2024 Executive Elections|8|2024-05-06|2024-06-07
2000 Director Elections|9|2000-09-03|2000-10-20
2001 Trustee Elections|9|2001-08-30|2001-10-11
2002 Director Elections|9|2002-08-07|2002-09-14
2003 Directorship Elections|9|2003-01-09|2003-03-05
2004 Council Member Elections|9|2004-09-13|2004-10-19
2005 Council Elections|9|2005-01-05|2005-02-12
2006 Governing Body Elections|9|2006-11-27|2007-01-11
2007 Executive Board Elections|9|2007-10-08|2007-11-28
2008 Steering Committee Elections|9|2008-12-03|2009-01-18
2009 Executive Elections|9|2009-06-14|2009-08-05
2010 President Selection|9|2010-06-30|2010-08-13
2011 Management Elections|9|2011-07-10|2011-09-06
2012 Steering Committee Elections|9|2012-03-30|2012-05-18
2013 Director Elections|9|2013-08-08|2013-09-23
2014 Executive Board Elections|9|2014-04-28|2014-06-27
2015 Council Presidency Elections|9|2015-12-29|2016-02-03
2016 Trustee Elections|9|2016-07-30|2016-09-07
2017 Director Elections|9|2017-11-10|2018-01-03
2018 President Selection|9|2018-11-25|2019-01-19
2019 Councilor Elections|9|2019-02-11|2019-03-13
2020 Secretary-General Elections|9|2020-12-21|2021-02-19
2021 Committee Chairperson Elections|9|2021-05-05|2021-06-14
2022 Executive Director Elections|9|2022-02-14|2022-03-28
2023 Officer Appointments|9|2023-03-23|2023-05-21
2024 Committee Elections|9|2024-11-18|2025-01-14
2000 Committee Elections|10|2000-10-17|2000-11-23
2001 President Selection|10|2001-06-27|2001-08-17
2002 Board Elections|10|2002-05-30|2002-06-30
2003 Committee Chairperson Elections|10|2003-10-22|2003-12-12
2004 Council Elections|10|2004-11-23|2005-01-14
2005 Board Chair Elections|10|2005-11-25|2006-01-11
2006 President Selection|10|2006-01-24|2006-03-03
2007 Councilor Elections|10|2007-09-05|2007-10-25
2008 Board Member Elections|10|2008-03-16|2008-04-30
2009 Committee Chairperson Selection|10|2009-12-23|2010-01-25
2010 Officer Appointments|10|2010-03-28|2010-05-22
2011 Council Elections|10|2011-08-05|2011-09-30
2012 President Selection|10|2012-05-25|2012-07-06
2013 Council Presidency Elections|10|2013-02-03|2013-03-08
2014 Chairperson Elections|10|2014-11-26|2015-01-20
2015 Chairperson Elections|10|2015-07-26|2015-09-14
2016 Officer Appointments|10|2016-02-21|2016-04-15
2017 Officer Selection|10|2017-08-22|2017-09-22
2018 Council Elections|10|2018-06-03|2018-07-16
2019 Officer Appointments|10|2019-11-08|2019-12-19
2020 Committee Elections|10|2020-05-28|2020-07-12
2021 Officer Selection|10|2021-07-13|2021-08-19
2022 Executive Committee Elections|10|2022-07-05|2022-08-28
2023 Leadership Elections|10|2023-03-12|2023-05-06
2024 Councilor Elections|10|2024-05-23|2024-07-13
2000 Committee Chairperson Selection|11|2000-12-23|2001-02-04
2001 President Selection|11|2001-11-10|2002-01-01
2002 Committee Chairperson Elections|11|2002-02-04|2002-03-07
2003 Committee Elections|11|2003-02-16|2003-04-10
2004 Council Member Elections|11|2004-03-20|2004-04-24
2005 Steering Committee Elections|11|2005-01-01|2005-02-01
2006 Council Presidency Elections|11|2006-05-11|2006-06-27
2007 Council Member Elections|11|2007-08-12|2007-09-21
2008 Executive Board Elections|11|2008-10-08|2008-11-16
2009 Presidential Elections|11|2009-07-15|2009-09-04
2010 Board Chair Elections|11|2010-06-14|2010-07-19
2011 Board Member Elections|11|2011-07-07|2011-08-14
2012 Governing Body Elections|11|2012-08-05|2012-09-21
2013 Council Elections|11|2013-04-01|2013-05-04
2014 Management Elections|11|2014-10-19|2014-12-04
2015 Committee Chairperson Elections|11|2015-11-04|2015-12-24
2016 Executive Elections|11|2016-09-22|2016-11-03
2017 Chairperson Elections|11|2017-12-16|2018-01-17
2018 Steering Committee Elections|11|2018-10-26|2018-11-26
2019 Board Chair Elections|11|2019-09-26|2019-11-12
2020 Presidential Elections|11|2020-10-20|2020-12-04
2021 Officer Appointments|11|2021-04-01|2021-05-28
2022 Council Member Elections|11|2022-05-28|2022-07-02
2023 Executive Elections|11|2023-05-24|2023-07-16
2024 Board Elections|11|2024-07-23|2024-09-17
2000 Executive Elections|12|2000-02-28|2000-04-16
2001 Secretary-General Elections|12|2001-08-31|2001-10-28
2002 Committee Chair Elections|12|2002-11-06|2002-12-09
2003 Committee Chairperson Selection|12|2003-09-25|2003-11-05
2004 Presidential Elections|12|2004-09-17|2004-10-18
2005 Executive Director Elections|12|2005-12-27|2006-02-10
2006 Board Elections|12|2006-01-06|2006-02-23
2007 Chairperson Selection|12|2007-02-18|2007-03-24
2008 Leadership Elections|12|2008-08-20|2008-10-12
2009 Council Member Elections|12|2009-04-15|2009-05-23
2010 Officer Selection|12|2010-08-13|2010-09-22
2011 Council Elections|12|2011-11-28|2012-01-02
2012 Officer Selection|12|2012-02-16|2012-04-13
2013 Committee Chair Elections|12|2013-10-26|2013-12-09
2014 Committee Chair Elections|12|2014-03-23|2014-05-07
2015 Committee Chair Elections|12|2015-11-13|2015-12-16
2016 Chairperson Selection|12|2016-11-14|2016-12-29
2017 Steering Committee Elections|12|2017-04-15|2017-06-01
2018 Council Member Elections|12|2018-03-24|2018-05-19
2019 Trustee Elections|12|2019-06-12|2019-08-01
2020 Committee Chairperson Elections|12|2020-10-16|2020-11-26
2021 Executive Director Elections|12|2021-02-16|2021-03-30
2022 President Selection|12|2022-02-05|2022-03-08
2023 Governing Body Elections|12|2023-07-02|2023-08-05
2024 Board Elections|12|2024-12-09|2025-02-04
2000 Board Member Elections|13|2000-05-04|2000-06-23
2001 Trustee Elections|13|2001-09-04|2001-10-21
2002 Executive Board Elections|13|2002-02-25|2002-04-13
2003 Director General Elections|13|2003-07-09|2003-08-24
2004 Board Member Elections|13|2004-08-21|2004-10-09
2005 Councilor Elections|13|2005-06-14|2005-08-04
2006 President Selection|13|2006-08-15|2006-09-30
2007 Board Chair Elections|13|2007-09-14|2007-10-17
2008 Steering Committee Elections|13|2008-12-15|2009-01-25
2009 Governing Body Elections|13|2009-11-25|2010-01-22
2010 Director Elections|13|2010-07-31|2010-09-23
2011 Secretary-General Elections|13|2011-12-20|2012-01-23
2012 Secretary-General Elections|13|2012-11-16|2012-12-20
2013 Council Elections|13|2013-10-04|2013-11-15
2014 Board Chair Elections|13|2014-11-23|2014-12-24
2015 Committee Chairperson Selection|13|2015-08-03|2015-09-06
2016 Executive Board Elections|13|2016-11-30|2017-01-22
2017 Committee Chair Elections|13|2017-01-16|2017-02-22
2018 Committee Chair Elections|13|2018-01-21|2018-03-09
2019 Council Elections|13|2019-07-22|2019-09-13
2020 Board Elections|13|2020-02-06|2020-03-10
2021 Board Chair Elections|13|2021-06-02|2021-07-16
2022 Committee Chairperson Selection|13|2022-12-13|2023-02-06
2023 Director General Elections|13|2023-08-09|2023-09-16
2024 Council Elections|13|2024-03-08|2024-04-09
2000 Executive Director Elections|14|2000-09-26|2000-11-04
2001 Committee Chairperson Selection|14|2001-09-18|2001-11-08
2002 Governing Body Elections|14|2002-11-21|2003-01-07
2003 Secretary-General Elections|14|2003-02-04|2003-03-18
2004 Executive Committee Elections|14|2004-06-14|2004-08-05
2005 Executive Director Elections|14|2005-02-23|2005-03-25
2006 Management Elections|14|2006-08-18|2006-10-09
2007 Council Elections|14|2007-01-15|2007-03-02
2008 Secretary-General Elections|14|2008-12-20|2009-01-29
2009 Board Chair Elections|14|2009-06-29|2009-08-15
2010 Directorship Elections|14|2010-11-06|2011-01-01
2011 Presidential Elections|14|2011-02-21|2011-03-25
2012 Governing Body Elections|14|2012-10-20|2012-12-07
2013 Steering Committee Elections|14|2013-04-18|2013-06-07
2014 Steering Committee Elections|14|2014-01-22|2014-03-23
2015 Management Elections|14|2015-01-16|2015-02-16
2016 Committee Elections|14|2016-09-02|2016-10-27
2017 Chairperson Selection|14|2017-03-16|2017-05-11
2018 Council Member Elections|14|2018-05-31|2018-07-27
2019 Governing Body Elections|14|2019-05-28|2019-07-27
2020 Council Presidency Elections|14|2020-10-10|2020-11-18
2021 Board Member Elections|14|2021-01-24|2021-03-22
2022 Council Presidency Elections|14|2022-07-18|2022-09-05
2023 Officer Appointments|14|2023-12-10|2024-01-27
2024 Presidential Elections|14|2024-05-08|2024-06-19
2000 Committee Elections|15|2000-07-25|2000-09-04
2001 Board Elections|15|2001-08-16|2001-10-02
2002 Executive Committee Elections|15|2002-05-26|2002-07-19
2003 Executive Board Elections|15|2003-09-02|2003-11-01
2004 Trustee Elections|15|2004-07-31|2004-09-21
2005 Steering Committee Elections|15|2005-06-28|2005-08-19
2006 Director Elections|15|2006-04-28|2006-06-21
2007 Director Elections|15|2007-02-15|2007-03-28
2008 Governing Body Elections|15|2008-02-04|2008-03-21
2009 Council Presidency Elections|15|2009-07-20|2009-08-23
2010 Presidential Elections|15|2010-11-23|2011-01-07
2011 Officer Selection|15|2011-10-09|2011-11-09
2012 Council Member Elections|15|2012-08-26|2012-10-19
2013 Officer Appointments|15|2013-09-20|2013-10-27
2014 Executive Director Elections|15|2014-03-09|2014-04-29
2015 Board Elections|15|2015-02-24|2015-03-29
2016 Council Presidency Elections|15|2016-08-02|2016-09-13
2017 President Selection|15|2017-06-15|2017-07-21
2018 Committee Chairperson Elections|15|2018-07-19|2018-08-20
2019 Committee Chairperson Elections|15|2019-04-10|2019-05-30
2020 President Selection|15|2020-07-29|2020-09-15
2021 President Selection|15|2021-12-01|2022-01-05
2022 Executive Elections|15|2022-06-03|2022-07-14
2023 Board Member Elections|15|2023-11-20|2024-01-12
2024 Council Presidency Elections|15|2024-10-15|2024-11-22
2000 Committee Chairperson Selection|16|2000-02-06|2000-03-31
2001 Officer Appointments|16|2001-04-23|2001-06-10
2002 Board Elections|16|2002-09-27|2002-11-24
2003 Committee Elections|16|2003-02-05|2003-03-10
2004 Council Elections|16|2004-07-10|2004-09-07
2005 Management Elections|16|2005-11-24|2005-12-31
2006 Executive Committee Elections|16|2006-12-07|2007-01-15
2007 Board Chair Elections|16|2007-06-05|2007-07-10
2008 Board Member Elections|16|2008-11-30|2009-01-16
2009 Executive Committee Elections|16|2009-03-29|2009-05-15
2010 Governing Body Elections|16|2010-12-21|2011-02-13
2011 Management Elections|16|2011-05-13|2011-06-18
2012 Officer Appointments|16|2012-05-14|2012-07-07
2013 Executive Elections|16|2013-04-04|2013-05-14
2014 Executive Committee Elections|16|2014-05-16|2014-07-10
2015 Steering Committee Elections|16|2015-11-20|2016-01-01
2016 Secretary-General Elections|16|2016-07-21|2016-09-15
2017 Executive Committee Elections|16|2017-06-29|2017-08-08
2018 Executive Director Elections|16|2018-12-24|2019-02-11
2019 Secretary-General Elections|16|2019-12-21|2020-02-18
2020 Trustee Elections|16|2020-08-15|2020-09-15
2021 Leadership Elections|16|2021-11-25|2021-12-25
2022 Presidential Elections|16|2022-07-03|2022-08-09
2023 Board Elections|16|2023-05-22|2023-07-11
2024 Council Presidency Elections|16|2024-06-29|2024-08-08
2000 President Selection|17|2000-09-20|2000-10-30
2001 Officer Appointments|17|2001-01-26|2001-03-27
2002 Council Presidency Elections|17|2002-12-10|2003-02-06
2003 Chairperson Elections|17|2003-06-21|2003-07-31
2004 Governing Body Elections|17|2004-06-07|2004-07-28
2005 Officer Selection|17|2005-11-23|2006-01-04
2006 Executive Elections|17|2006-09-14|2006-10-23
2007 Board Member Elections|17|2007-05-14|2007-07-03
2008 Officer Selection|17|2008-12-02|2009-01-09
2009 Management Elections|17|2009-03-24|2009-05-16
2010 Presidential Elections|17|2010-02-25|2010-04-20
2011 Board Chair Elections|17|2011-03-29|2011-05-20
2012 Officer Appointments|17|2012-03-19|2012-04-24
2013 Governing Body Elections|17|2013-12-08|2014-01-28
2014 Executive Board Elections|17|2014-10-21|2014-12-15
2015 Leadership Elections|17|2015-01-22|2015-03-09
2016 Presidential Elections|17|2016-01-25|2016-03-22
2017 Secretary-General Elections|17|2017-06-16|2017-07-16
2018 Executive Committee Elections|17|2018-04-01|2018-05-31
2019 Committee Chair Elections|17|2019-03-22|2019-05-15
2020 Presidential Elections|17|2020-01-21|2020-03-19
2021 Officer Selection|17|2021-01-03|2021-02-10
2022 Chairperson Selection|17|2022-10-13|2022-11-28
2023 Officer Selection|17|2023-09-11|2023-11-01
2024 Officer Selection|17|2024-03-04|2024-05-03
2000 Board Member Elections|18|2000-01-07|2000-03-07
2001 President Selection|18|2001-01-11|2001-03-05
2002 Steering Committee Elections|18|2002-07-21|2002-08-30
2003 Chairperson Elections|18|2003-07-21|2003-09-10
2004 Council Member Elections|18|2004-04-14|2004-05-30
2005 Chairperson Elections|18|2005-11-25|2005-12-29
2006 Councilor Elections|18|2006-12-29|2007-02-24
2007 Council Elections|18|2007-08-15|2007-09-29
2008 Executive Elections|18|2008-10-12|2008-11-20
2009 Officer Appointments|18|2009-08-20|2009-09-29
2010 Leadership Elections|18|2010-11-08|2011-01-06
2011 Board Chair Elections|18|2011-10-02|2011-11-12
2012 Councilor Elections|18|2012-08-16|2012-09-25
2013 Board Elections|18|2013-11-07|2013-12-09
2014 Board Chair Elections|18|2014-11-29|2015-01-24
2015 Director Elections|18|2015-11-13|2016-01-03
2016 Executive Elections|18|2016-12-05|2017-01-14
2017 Councilor Elections|18|2017-11-04|2017-12-11
2018 Executive Committee Elections|18|2018-03-12|2018-05-08
2019 Committee Chairperson Elections|18|2019-09-18|2019-10-29
2020 Executive Elections|18|2020-10-18|2020-11-20
2021 Director Elections|18|2021-01-07|2021-02-22
2022 Council Member Elections|18|2022-01-01|2022-01-31
2023 Executive Director Elections|18|2023-10-08|2023-11-29
2024 Board Chair Elections|18|2024-10-19|2024-11-30
2000 Steering Committee Elections|19|2000-07-09|2000-08-19
2001 Committee Chairperson Elections|19|2001-01-11|2001-03-05
2002 Board Elections|19|2002-05-11|2002-07-07
2003 Chairperson Elections|19|2003-04-20|2003-05-22
2004 Executive Elections|19|2004-08-07|2004-10-01
2005 Executive Director Elections|19|2005-03-04|2005-04-29
2006 Council Member Elections|19|2006-01-20|2006-03-16
2007 Board Elections|19|2007-02-01|2007-03-09
2008 Officer Appointments|19|2008-07-02|2008-08-27
2009 Executive Board Elections|19|2009-04-08|2009-05-13
2010 Director General Elections|19|2010-05-18|2010-07-09
2011 Board Member Elections|19|2011-05-30|2011-07-22
2012 Officer Selection|19|2012-04-11|2012-06-07
2013 Executive Elections|19|2013-02-08|2013-03-26
2014 Governing Body Elections|19|2014-03-30|2014-05-06
2015 Steering Committee Elections|19|2015-05-14|2015-06-24
2016 President Selection|19|2016-05-21|2016-07-06
2017 Management Elections|19|2017-03-19|2017-05-13
2018 Executive Director Elections|19|2018-08-24|2018-09-25
2019 Councilor Elections|19|2019-08-07|2019-09-09
2020 Board Chair Elections|19|2020-01-18|2020-03-07
2021 Board Elections|19|2021-07-02|2021-08-10
2022 Officer Appointments|19|2022-07-18|2022-09-05
2023 Governing Body Elections|19|2023-08-31|2023-10-24
2024 Chairperson Selection|19|2024-04-27|2024-06-26
2000 Executive Director Elections|20|2000-01-20|2000-02-23
2001 Officer Selection|20|2001-10-14|2001-11-28
2002 Council Presidency Elections|20|2002-03-19|2002-05-07
2003 Committee Chair Elections|20|2003-06-25|2003-08-21
2004 Officer Selection|20|2004-08-05|2004-09-20
2005 Council Member Elections|20|2005-01-30|2005-03-11
2006 Committee Chair Elections|20|2006-11-19|2007-01-14
2007 Executive Elections|20|2007-07-28|2007-09-25
2008 Committee Elections|20|2008-04-07|2008-05-31
2009 Council Elections|20|2009-10-05|2009-11-14
2010 Governing Body Elections|20|2010-09-05|2010-10-08
2011 Directorship Elections|20|2011-09-24|2011-11-17
2012 Board Elections|20|2012-08-06|2012-10-01
2013 Committee Chairperson Elections|20|2013-06-16|2013-08-05
2014 Committee Elections|20|2014-03-06|2014-04-06
2015 Committee Chair Elections|20|2015-09-09|2015-10-25
2016 Officer Appointments|20|2016-12-29|2017-02-17
2017 Director Elections|20|2017-11-18|2017-12-30
2018 Presidential Elections|20|2018-05-14|2018-06-26
2019 Secretary-General Elections|20|2019-10-24|2019-12-15
2020 Committee Elections|20|2020-07-05|2020-08-13
2021 Committee Elections|20|2021-02-11|2021-03-19
2022 Executive Elections|20|2022-02-18|2022-04-02
2023 Governing Body Elections|20|2023-12-07|2024-01-30
2024 Trustee Elections|20|2024-04-30|2024-05-30
2000 Leadership Elections|21|2000-08-11|2000-10-08
2001 Executive Committee Elections|21|2001-04-14|2001-05-15
2002 Committee Chairperson Selection|21|2002-01-26|2002-03-16
2003 Trustee Elections|21|2003-09-08|2003-10-14
2004 Steering Committee Elections|21|2004-07-20|2004-08-25
2005 Officer Selection|21|2005-03-11|2005-04-11
2006 Executive Committee Elections|21|2006-04-20|2006-06-06
2007 Committee Chairperson Selection|21|2007-06-25|2007-07-31
2008 Directorship Elections|21|2008-01-16|2008-02-21
2009 Trustee Elections|21|2009-08-25|2009-09-24
2010 Director Elections|21|2010-11-15|2010-12-17
2011 Leadership Elections|21|2011-06-21|2011-07-25
2012 President Selection|21|2012-02-09|2012-03-12
2013 Governing Body Elections|21|2013-06-07|2013-08-02
